"","Session","Question","Text","Residence"
"315",29,"5c","They will get efficient if we get cooperation from the barangay. Community… Fishermen. It will really get efficient if people from the barangay unite. That's the program. But if not… no trust.","Depla"
"316",29,"6a","Sir, what I know from Pangatalan is a resort, right? I don't know if they have another goal. I know there is an MPA there because there are buoys.","Depla"
"317",29,"6b","","Depla"
"318",29,"6c","Yes we agree. This MPA is beautiful. Its goal is nice. It's protection for areas of poor peopole. When fish are increasing in numbers, then they are really numerous going out. The ones getting benefits are the fishermen…","Depla"
"319",29,"7","Depla will develop. For example, if we get help from the resort of Pangatalan, we get cooperation. Help for each one. Programs, like this. Our program is beautiful because people are getting united.","Depla"
"320",30,"1","As of now… In the mountains of course, there is cutting of trees, as well as in the mangroves. But of course in the sea, there is illegal fishing. The other issues... I think the environmentalists they are not opted in presenting the ones who destroy the environment. The government, the environmentalists. They are not sincere in doing their part, their job. People continue destroying our environment. They don't do their job, that's what I saw.","Depla"
"321",30,"2","Of course it has a value because we are getting our food, the fish. Food and income from the sea. Of course there is a connection with the environment, especially climate change. Because the environment of course, the corals, is already destroyed. So erosion... corals cannot control erosion, cannot control the dirt from the mountain. So there is a connection with the environment. The erosion that is caused to the ocean. The dirt go to the ocean and if there is not enough corals, corals cannot control and maybe there is also landslides. But also in the sea the trash will go down because of a lack of corals. So there is still a connection to the environment.","Depla"
"322",30,"3","The problem of the fishermen of course, is they don't have enough catch. And also the government, they are not doing their job to watch and to control the illegal fishermen. They are using dynamite and cyanide. So our government, maybe their movement is not enough. They are still sitting in their offices, not going out to give solutions or to watch. A little maybe, but not enough because our ocean is very wide.","Depla"
"323",30,"4","Maybe they will only enforce the law. Action, I need to say, they must have an action. Enforce the law so that illegal fishers will not continue doing their illegal activities. Of they should put some guards in different places like that they will not continue their illegal activities. Also the people are afraid of law but if there is no action, they will continue.","Depla"
"324",30,"5a","They have a plan here. I don't know the size of the marine protected area. Of course the purpose is the fish to lay their eggs overthere. And of course that will produce more fish. If the people will not allow to go there and catch fish there, that will reproduce. The purpose is not only to protect the mother fish but also that if it has already produced an egg, also the fisherman will benefit from that. Maybe you call that exit. If the area is already full of fish, they will go out. And the the fisherman will benefit.","Depla"
"325",30,"5b","Of course the barangay Depla, the people in barangay Depla. The fishermen. But maybe not only the fishermen, the people because they will eat also the catch.","Depla"
"326",30,"5c","Maybe we can put a guard also. It will work out like that. People have no concern, what they want is to get for today and for tomorrow… They are not concerned with the future.","Depla"
"327",30,"6a","I have no idea. I heard but I have not enough idea for that, I am new here.","Depla"
"328",30,"6b","","Depla"
"329",30,"6c","","Depla"
"330",30,"7","Maybe there is no future. If the people continue to destroy, maybe the food etc., not a good result. But maybe if people prevent, maybe there is a good future. Prevent, meaning cooperate and do what is right or what is fit for the plants, for the MPA for example. They agree and watch... Maybe there is a good future, not only in the MPA but also here in the mountains. Of course officials in the barangay must be the first ones who execute. They are the people that know better the community.","Depla"
"331",31,"1","First, for me, the environment is getting damaged, linked to cyanide for example. If the environment is damaged, people will get poor. Maybe they are also doing it because of poverty. Or maybe they don't have any idea. On land, sometimes there are attacks of animals damaging the plants. For example, you are a farmer, and you planted. And animals are damaging it. Insects.","Depla"
"332",31,"2","Oh it really has a value. Of course, first, if we are not farmers, and other people are damaging our environment… We will get more poor. All of us. It has a value because it is where we get our ways of subsistence. For example, I am a fisherman. And the environment gets damaged. My family gets its subsistence from there. We need to protect our environment. Just like boss Fred is doing, this is a big help, right? A big help so that fish can multiply. But there are also Filipinos that are different.","Depla"
"333",31,"3","There has been a lot of change now. Now, the damages to the environment have been quite reduced. Before, some time ago, there was cyanide, and all of that. Now the environment has started recovering. There has been a lot of protection. My estimate. Before, at the beginning it was different, there was a lot, they didn't care and used a lot of forbidden ways. Now after some time there is an effect. Now, environment will be able to recover.","Depla"
"334",31,"4","There is no other solution than help, for example, you know that if you become illegal, it's not only for you… The environment, we all get benefit from it. All of us. So we give it some protection, we need to protect our environment. We should not abuse. Protection, for example, the barangay officials should execute that. They have a duty. They are the very eye that can see. Having guards is really what matters. Just like what they are doing in Pangatalan right? The security is changing a lot right?","Depla"
"335",31,"5a","The sanctuary overthere, I was there for the public hearing in Taytay. Their goal is beautiful. The small fish enter there, there are getting protection because illegal fisherman cannot enter. And when they go out… Their goal really is to protect. Protection for the fish. But not only, corals as well... Have you noticed the corals planted by Thomas? I was there. I could dive! I went with him. ","Depla"
"336",31,"5b","According to me, it's not maybe for everyone. I mean, Fred made it so that the environment improves. The MPA in Pangatalan, it's for everyone. For example you put protection, it's for people as well. In Depla, the new MPA is for people in Depla. ","Depla"
"337",31,"5c","To get efficient, we need the cooperation of barangay officials so that it becomes strong. Protection from the barangay. Fishermen should not enter. These are, first, the fish of the barangay. If what they are doing good things, like saying don't have a second thought, we are really implementing it, you should not enter and everything... Like they are doing in Pangatalan, we should not enter there, because it is the very area for the fish so that they come back just as before. That's the way for Fred. He noticed there, we dived in Imorigue. We went together both of us to swim down there. ","Depla"
"338",31,"6a","Their goal is good. I can really understand the goal of Sulubaai Foundation. First, for me, it is a big help for me. Because my two kids could finish their studies. They help. Big help from boss Fred. They don't only help here, but also in other places. ","Depla"
"339",31,"6b","It is good. To improve, it depends.","Depla"
"340",31,"6c","It is good. It has no other goal than to help come back the previous corals, fish. Come back like before. Not to be damaged anymore. Because first, when they arrived they put protection on the protected area. If they did not create a protected area, oh well... There would be nothing.","Depla"
"341",31,"7","Here for people living in barangay Depla, it really depends on the opportunities of livelihood. If you don't like your work, what can you do? What mean is that you are terminated if you don't like you work. We need to give education to our kids so they can study. This will create a beautiful future. Of course for the parents, there is no more, we only can support the next generations. If parents have the intention to improve the life of their children... For the environment, we should put protection. We get there our ways of subsistence, our revenues. If there is no work in Pangatalan for example, then you have to think about what your job can be. They give a good help.","Depla"
"342",32,"1","Do you know that illegals are the worse problem here. Number one. If you are illegal like that, especially here, it is a sacrifice towards people. Cyanide for example, but now there is not much anymore. On land also we have some issues. We plant things like vegetables, but our land has no more vitamins. Our land is not fertile. It lacks of... Because, on my observations, when we plant, it does not grow. On mainland it is different from here on islands.","Depla"
"343",32,"2","Do you know, the very first and original way of subsistence here is the sea, our sea. The only issue is it that is getting difficult, the fish catch are weak. It is because of the illegal fishermen I was mentionning that it is happening. People who don't protect our ocean. For us especially here, they are the ones damaging here the corals. That's the house of the fish, if it is broken, there are no more fish, they just leave. The big corals, they will die because of sodium. That's really the first livelihood here, the sea. When I was a kid, the fish were very abundant. When I was spearfishing... now there are no more.","Depla"
"344",32,"3","","Depla"
"345",32,"4","The solution for that, maybe, for me, is to get noticed and get help. We need help, advice, on how to protect our ocean. So that our product, fish, comes back. Help… it's difficult to mention. Like protection so that illegal fishermen don't enter anymore.","Depla"
"346",32,"5a","Just like we had before, this is good. Before we were in Pagpa, we are from Manaboc, because we are Tagbanua. We had areas like that. The goal was to increase the number of fish. We could not fish inside because it is the spawning ground of fish. Because this is forbidden. Because sir, from what I can hope, and it's a lot. But this is why I am asking for help, to get protection in the spawning grounds of fish. Because like we said they really do come back as long as we protect the places.","Depla"
"347",32,"5b","It's for us, for the barangay, for everyone, right? For all the area of the barangay here.","Depla"
"348",32,"5c","We need everyone from the barangay to help, they should not damage the spawning grounds of fish. If these are getting damaged, everything will die. They need to participate, to help. ","Depla"
"349",32,"6a","I know it, because many illegal fishermen have stopped. Their goal is really to help people here. Not only people from here, also in other places they help. I am really in favor of that. Everyone here in Depla is in favor. It's a big people for people from here.","Depla"
"350",32,"6b","It is really beautiful. Big help. If they are not here, it will be really difficult. Some members of my family have been working there. They also safeguard the ocean.","Depla"
"351",32,"6c","As long as they are here it will really develop. They are helping us. They safeguard the environment. They scare the illegal fishermen. No one can enter, illegal fishermen. Their MPA is good. Because first, the fish there are not decreasing in numbers. The fish are really increasing in numbers there.","Depla"
"352",32,"7","In time, in my opinion, life will become quite more beautiful here, because first, people here from islands, they are the one willing to help. They are not doing bad things. There will more resources from the sea here. They will help, only in a year maybe there can be millions of fingerlings; it is impossible that in a year the number don't increase. Now, it really is a help for safeguarding the sea, I am really in favorable to that.","Depla"
"353",33,"1","The problem here is really illegal fishermen in the sea. When they come, they use ways such as explosives, that break the corals. And then there is no more spawning ground for the fish. And it is becoming more and more difficult for fishermen here, for their livelihood, because their catch are not enough.","Depla"
"354",33,"2","The ocean is really valuable. Especially for the next generations. If it is damaged, it is bad for the next generations. They won't have any more fishery and beautiful environment. It will then really be damaged. For us as well, we need a beautiful ocean because the ocean is our livelihood. That's where we get a lot of fish for our needs. That's where we get our revenues to pay for the studies. For everyday, that's why it is valuable. Here, there is no other way of subsistence. The ocean.","Depla"
"355",33,"3","Sodium really… Here sometimes we have people from other barangay that arrive and continue to get our natural resources. That's really our problem, people from other barangays coming here. And people from Depla are getting poorer. Of course if every night they come, people from here will get poorer because they don't have catch anymore. People from other areas are getting the resources. So we should protect our ocean.","Depla"
"356",33,"4","Our barangay captain here… She does not really take action when it come to this. For example, going to Poblacion, Taytay. In order to denounce in higher stances people doing illegal fishing. They should go there to help us, make us noticed. Getting noticed with our barangay captain in order to control illegal fishermen. To make it forbidden... And safeguarding. We have what we call BFARMC. That's also a solution.","Depla"
"357",33,"5a","That's like the one that was created by Fred. That's good, the reason is that we get a spawning area for fish and when they grow, they also exit. And it's also for us. Also sometimes in our barangay, for the sanctuary, some don't want. They explain that they lack of resources. That's not for them, this is only for me.","Depla"
"358",33,"5b","","Depla"
"359",33,"5c","It needs a discussion with all inhabitants from Depla, to have a wide discussion. We need to get each person. ","Depla"
"360",33,"6a","I think their goal is to help each barangay near their island. I can't think of any other goal, help. ","Depla"
"361",33,"6b","For me, what they are doing is good. I agree to such things. Aside from their help to people here they also give work to people there.","Depla"
"362",33,"6c","I agree as well. The plants in the sea avoid other people.","Depla"
"363",33,"7","In the previous years, like five or ten years ago… The fish back then were really numerous as compared to now. Back then, people did not get poor while catching fish. Now sir, it is extremely difficult. Sometime you go at sea and don't catch any fish. Only one fish, two fish. One kilogram. That's how difficult it is. Tomorrow, it will still be difficult to catch fish. It will continue in the future. The future will be difficult here. ","Depla"
"364",34,"1","First sir, for the fish, there are a lot of illegal fishermen like cyanide… dynamite. That's a problem because everything is getting damaged. It started a long time. When I married my husband, I was already hearing it. Maybe more than fifty years. On land, there are the animals. Because in the mountains they are doing kaingin, and cutting the large trees with chainsaws. So the animals are going down and they are eating the products we are planting. Cashew, bananas... And the animals are like wild boars, monkeys...","Depla"
"365",34,"2","If there is nothing left in there… it will get really difficult to get our food. The sea is giving us financial help, for us and every family. ","Depla"
"366",34,"3","Back then, Terramar was not here yet. They got buoys. Now, they put the pearls there. And they left bigs ""angkols"" in the area where we were fishing with nets. We can't lay our net there or otherwise it will get broken. The area left is really small, and it is difficult for us. Another issue is compressor, because they are powerful in getting fish. The fish are really depleted and we only get a few, sometimes it is difficult to get our food.","Depla"
"367",34,"4","We should get a resolution from the barangay to make these things forbidden here. It's actually already forbidden. But maybe what could be done is another resolution. There was a law already created but people are just keeping on doing those things. What should be done maybe is to get guards.","Depla"
"368",34,"5a","In my opinion, these are MPAs are made so that people from here don't have trouble in getting fish. At least, they have a place for spawning and people will have fish again. So that fish increase again in numbers. ","Depla"
"369",34,"5b","MPAs are for us, people from Depla.","Depla"
"370",34,"5c","We are doing a resolution from barangay officials, and this law must become implemented. This MPA will become efficient like this. That's how it will happen.","Depla"
"371",34,"6a","I've only heard. I don't really know their goal.","Depla"
"372",34,"6b","","Depla"
"373",34,"6c","For me it's okay. At least, they are protecting small areas of the sea. Like that there a lot of fish to be caught overthere. ","Depla"
"374",34,"7","Maybe after ten years or twenty wears, if there is no MPA, the fish will be picked up to the last piece. If there is an MPA, no matter what, people will still have fish to catch.","Depla"
"375",35,"1","The worse issue is about our mangroves and mountains as well. In the mountains they are doing kaingin sometimes. And sometimes the water supply is an issue too because they are cutting trees doing kaingin. The cutting of mangroves is an issue for the fishery. They are cutting the mangroves and they are the habitats of small fish. I think that's it. For the mangroves, it is affecting our fishery. Sometimes from the cutting of trees, the problem is that our water is being affected. Not much water. When the trees are cut, the quantity of water is diminishing everyday. I think kaingin started even before I was born, but the cutting of mangroves not yet. I think it started maybe over ten years ago. Like that. ","Depla"
"376",35,"2","Because that's the very place where we get our livelihood. By fishing. You know sir, there is a reason here, our former way of livelihood is seaweeds. ","Depla"
"377",35,"3","But Terramar came here, and when it is Amihan, the sea comes towards us. Now because they are here, and we cannot fish inside their area. It has affected us here in barangay Depla. The area to get squids, it is lost now. There are no more squids because their area is forbidden. That's really the reason according to me. Back then there was a lot of fish but because our fishery was affected like this, there are no more. The mangroves really affected our fishery. There are only few fish, it is really weak. ","Depla"
"378",35,"4","The solution is that people cutting mangroves have to stop, we must catch them, it would be good. What they say is that they are doing this to avoid hunger. But us, we are poor as well. They should stop so that the former numbers of fish can come back, areas to spawn... ","Depla"
"379",35,"5a","For me, the marine protected areas are good. The fish are entering there, and reproduce there. And once they are big, then we can all catch them. If there is no marine protecte areas, every one can enter. If there is protection, no matter what, they will have reproduced and the stock won't be depleted for next generations.","Depla"
"380",35,"5b","They are for us as well, of course. People from here.","Depla"
"381",35,"5c","To be efficient, we need to avoid having people who don't want to think about the next generations. The ones only thinking about right-now. But for us, what we should do is really protecting the environment for the next ones. Barangay officials, and from up there. They are the one, first, that should protect there.","Depla"
"382",35,"6a","Their goal is good, to improve the lives of people from Depla. For example they implemented a marine protected area there, this is obviously not only for them but also for us, people from here! Their goal is not only for them, it is also for barangay.","Depla"
"383",35,"6b","My opinion is that it helps people here from barangay. Like I said so that people from our barangay don't get too poor from our ways of subsistence. They could improve, by helping more the barangay to improve.","Depla"
"384",35,"6c","My opinion is that it is really good. They have an MPA there, there, the fish are also exiting from your area and then fishermen can catch them. Terramar is a big issue though. It is different from yours, which is very small; it is not everything. It is small. The problem is when it really gets big. That's the problem of Terramar.","Depla"
"385",35,"7","For example, if things like that don't stop soon, there won't be anymore ways of subsistence here like fishing. That's why the solution is that we should really stop catching natural resources in the areas where they reproduce.","Depla"
"386",36,"1","Illegal fishermen… Because there are a lot of illegal fishermen here. That's a problem here for us, hook and line fishermen. Things such as cyanide. That's really what is destroying the environment. On land there are also, such as people cutting the trees. They don't cut the small trees so the big trees are depleted. I'm not sure when it started, but even when I was small it was the same.","Depla"
"387",36,"2","The ocean is valuable for us because this is where we get our subsistence from. That's where we get the money to pay for the studies of our children. So, we really protect the sea.","Depla"
"388",36,"3","Illegals… They are damaging the small fish in the ocean. For the next generation, we won't have anymore. Everything is getting damaged. We should forbid these things. The consequence is that the fish don't have anymore habitat, and are getting depleted. I noticed the corals are getting cut.","Depla"
"389",36,"4","I think maybe the solution would be to dive in order to look for the fish, the illegal fishermen should do that. We should control these illegal fishermen through the union of local people from here. I think if illegal fishing stops, there will be no more problem to the fishery here.","Depla"
"390",36,"5a","Of course, protecting the natural resources of the sea. They take care of broken corals near the shore so that the fish can come back again. So that fish can multiply.","Depla"
"391",36,"5b","These MPAs are for us, for people. Because one day there will be more fish, and we won't lack of fish; of course, they are going out, right? And then we can catch them with our hook and line. That's for fish but also for fishermen. I fish around Bilaya sometimes. Not near Pangatalan. We noticed that there are more fish near, but I am scared this to be forbidden. There are a lot of semilia there, not much bigger ones, but semilia really.","Depla"
"392",36,"5c","People need to unite, and not make any trouble. The others sometimes, they are entering inside the buoys. The others, right, there are entering for illegal fishing. We must avoid these illegal fishermen.","Depla"
"393",36,"6a","","Depla"
"394",36,"6b","","Depla"
"395",36,"6c","","Depla"
"396",36,"7","The life will get better. For example thanks to the studies of our children.","Depla"
"397",37,"1","On land, the big activities of kaingin. Sometimes, when the wind is strong, we can feel it. That's a problem, when we put fire to make kaingin. At sea, the problem is for the ones non involved in illegal activities. The problem at sea is illegal fishermen like dynamite, sodium. We should forbid these. This is creating problems to the marine environment. Because the corals, when there is dynamite, are getting broken, lost because of dyanmite. Sodium, when they spray it, the small fish are all dying. We should make this forbidden, because when they die as they are small, they don't grow at all. That's the problem for the marine environment. It started when the Visaya came, from Boreas, they are doing illegal activities there. Sodium. Dyanmite. Here, though, the Cuyonin and Tagbanua did not know about these illegal practices. Now they are looking at the Visaya going at sea and having big catch. They don't do illegal activities, but the Visaya do.","Batas"
"398",37,"2","The marine environment is valuable for me because it is beautiful when you see that are not destroyed and are growing. They are beautiful to see. The fish are not leaving when corals are beautiful like that. The environment is beautiful. It is valuable as well, as if there are no illegal fishermen, it is beautiful this way. That's what matters.","Batas"
"399",37,"3","There are a lot going at sea and don't get catch. The others, illegal fishermen, they have better catch. They get the catch of legal fishermen. Like dynamite, you get all the small fish this way. When you put dyanmite, everything is dead, and if you go there with legal ways, there is nothing left to catch. What I want to say, really, is that I hope that there is no more illegal fishermen. Only legal ways, that are not harmful. That's better because even if you don't catch fish, you don't damage the corals. There is more. Since a long time, there are a lot of fishermen. Now it is difficult getting fish because of all the people fishing. When the small fish are caught, they don't grow and we can't catch them. If there was no illegal fishing, we could still catch the small fish once they are big. We should forbid it. ","Batas"
"400",37,"4","The solution really, is to safeguard the environment. To avoid the things like dynamite, cyanide, sodium… Even the nets, the small nets, we could forbid this. Because even the small fish are caught. Just like the baklad, our captain does not agree with that. Right there, she made it forbidden when they tried to build one here. That's really the solution, safeguarding the ocean.","Batas"
"401",37,"5a","The goal of marine sanctuary is to avoid people from other places, like El Nido, to come fishing. For them, it's forbidden to fish here in our place. Because back then for us, when we went fishing there, they made it forbidden and arrested our boats. For cuttlefish, it's forbidden to fish there. So we only fish here, and make it forbidden for them here. Each one should have its fishing ground. Our sanctuary starts from Mata, Bulua and goes until Balitbit. That's a sanctuary, it's forbidden for strangers to fish here. And only for legal ways of fishing. Dynamite is forbidden there. That's the goal of the sanctuary, avoiding strangers.","Batas"
"402",37,"5b","They are only for us, people for Batas. Like our capitain said, it is good because this way if we have visitors, they can enjoy and swim here. There can be a lot of visitors. In other places if they swim they cannot see the corals because they are destroyed by dynamite so we made dynamite forbidden here.","Batas"
"403",37,"5c","We need to protect. It can get dirty like because of kaingin. If you have floods, it will carry the chemicals from up there. And the corals will become darker and be damaged. ","Batas"
"404",37,"6a","","Batas"
"405",37,"6b","","Batas"
"406",37,"6c","","Batas"
"407",37,"7","If we protect our marine environment here, the fish will improve here, they will increase in numbers. Just like now, we forbid dynamite here and now there are a lot of fish there. Matambaka… There are a lot of matambaka around the buoys overthere. So that's the solution, guarding, so that illegal fishermen don't come here. We are the ones guarding the area here. If we hear dynamite we go there. And we arrest them. We even arrested people from here, by the buyos there. But we can only guard here.","Batas"
"408",38,"1","The means of subsistence of people. Of course, poverty. Of course, sometimes like now, it is hard to catch fish. Sometimes, it is hard to get fish with hook and line. Right? Sometimes we only catch a few. I don't really know what is the reason at sea. Maybe because of the changes in the weather... Because sometimes we have a lot of catch. And sometimes very few. On land there are also issues. For example when you plant, like bananas, and there is a typhoon. They will fall and you will not get any benefits.","Batas"
"409",38,"2","Of course, because this is where we get our means of subsistence, like the fish. When you catch fish, you sell them and it gives you the money to pay for your needs. So the ocean is valuable for us, because this is where we get our means of subsistence, right? ","Batas"
"410",38,"3","I think there is no problem here really… Because of weather only. Sometimes you go at sea and you catch fish. Sometimes you got there and don't catch fish. Really I don't know why sometimes there are no catch. Fish are not eating the bait. Because of weather probably, for me. The fish are not eating the bait. There are also some weathers where we catch a lot. There are some stories, from old people that back then there was a lot of fish. I don't really know. Maybe it is the same.","Batas"
"411",38,"4","We can't really solve the problem of weather… Right?","Batas"
"412",38,"5a","So that the fish multiply there. They grow and then they exit. We protect so that fish are growing there. They are spawning there, in the corals. When they are already big, they exit. They lay their eggs over there, in protected areas, sanctuaries.","Batas"
"413",38,"5b","For the environment! Isn't it correct? It's also for people. For everyone, in the barangay for example. This is for people. Only for us. So that when people from the barangay are fishing with hook and line, they catch a lot of fish. Of course… There are a lot of fish left. If we don't keep an area for spawning, the fish will get depleted. There won't be anymore reproducers. But if we don't fish there, the reproducers will increase in numbers. ","Batas"
"414",38,"5c","Efficient? We need to protect these areas. Protecting, people should not enter there, should not fish. Taking care so that the fish can be growing. They should not break the corals so that the fish have a spawning ground. That's what we should be doing there. Protecting these areas so that the fish lay their eggs there.","Batas"
"415",38,"6a","","Batas"
"416",38,"6b","","Batas"
"417",38,"6c","","Batas"
"418",38,"7","We have to protect our environment for the next generations. So that they do not get poor. For our next children and grandchildren. If we deplete everything, what will be their ways of subsistence? If there are no more fish, they won't have anything left to catch.","Batas"
"419",39,"1","The trash… Sometimes there are a lot of trash in the environment. What else… A lot of children also! A lot  of kids! Duterte said that two or three kids is good and we should not exceed this. Only until two to three. Also, life is expensive. ","Batas"
"420",39,"2","It is valuable because this is where people have their livelihood. This is where they get their food for eveyday. That's it.","Batas"
"421",39,"3","The problem is that sometimes the weather is strong, waves are strong. When waves are big, we don't catch a lot of fish. That's climate… I can't think of anything else.","Batas"
"422",39,"4","Just like our dad is doing, when waves are big, he goes to the mountains to avoid the sea. He has plantations. We don't only get our food from the sea! In the mountains there is as well. Bananas. Fruits.","Batas"
"423",39,"5a","Their goal is to forbid fishing in these areas. There are buoys. The goal is to protect these areas. So that people from other places don't enter.","Batas"
"424",39,"5b","For everyone here in Batas. Only for people from Batas.","Batas"
"425",39,"5c","It needs guards of course.","Batas"
"426",39,"6a","","Batas"
"427",39,"6b","","Batas"
"428",39,"6c","","Batas"
"429",39,"7","In the next years… I think the costs of life will increase. It will get more and more expensive for people.","Batas"
"430",40,"1","Maybe illegal fishermen, the ones damaging the environment. Like dynamite. On land, there are animals… wild boars. You plant rice, and then there are some animals like monkeys…","Batas"
"431",40,"2","Of course for our children. For the next generations. Of course, if they don't have anymore catch, our children will get poor. It will be hard for them to have a livelihood. That's where we get our ways of subsistence, for the family.","Batas"
"432",40,"3","It is difficult to catch fish for fishermen. Probably because everything is getting damaged, even the small fish, the semilia that don't have anymore good habitat, because of illegal fishermen. In my opinion it is rare, it is mostly strangers. It has started a long time ago. Another problem is when Terramar is spraying their medicine, there are fish dying here. Then, back then we had seaweeds here, they were damaged as well. It looks like it is because of their spray. They use it so that the small insects and algae die. It was a long time ago, maybe over three years. We experienced it here. Until here up to the pontoon, seaweeds died and there were fish as well.","Batas"
"433",40,"4","We need to be efficient in the guarding.","Batas"
"434",40,"5a","Like what there was before at the place of Giovanni. Their goal is to protect near the places so that people from other areas don't enter. First, for the integrity of our livelihood at sea. That is really the livelihood, in the mountains as well. There areas where people from other barangays cannot enter. This is made so that we have the priority.","Batas"
"435",40,"5b","They are for people from the barangay. ","Batas"
"436",40,"5c","I have no idea.","Batas"
"437",40,"6a","","Batas"
"438",40,"6b","","Batas"
"439",40,"6c","","Batas"
"440",40,"7","Next generations will get poorer because of the loss of their catch. ","Batas"
"441",41,"1","The worse problem for the sea is the illegal fishermen. On land, it is the damages and pests on plantations, the diseases. We call that ""dugma"" in cuyonin. It is liked to these animals, there are a lot in the rice fields. Here in Batas it is like there is no other issue, illegal fishing really is the issue. Illegal fishing started a really long time ago.","Batas"
"442",41,"2","That's where we are making our living from. We get our livelihood from there. This is where we get the fish, our delicious food, really fresh.","Batas"
"443",41,"3","The issue is illegal fishing. Cyanide, dynamite. They also have in other places of the Shark Fin Bay. This is an issue because it breaks the corals, and the spawning ground of fish. Even the small fish, they catch them. Illegal fishing really is the issue, the use of compressor as well.","Batas"
"444",41,"4","We should catch them, so that there are no more illegal fishermen. Maybe some guards could catch them. Some military could also catch them, they could be sent.","Batas"
"445",41,"5a","Just like we have here, from Palitpit. We are guarding our place here. The goal is to guard the sea so that illegal fishermen don't enter in our fishing ground. So that they don't catch the fish of our barangay here in Batas.","Batas"
"446",41,"5b","Only for people from here. People from Batas.","Batas"
"447",41,"5c","It must be guarded; I mean having regular rounds made by a guard. If there are compressors, they can be sent away.","Batas"
"448",41,"6a","","Batas"
"449",41,"6b","","Batas"
"450",41,"6c","","Batas"
"451",41,"7","Our environment will be good here.","Batas"
"452",42,"1","A problem is the race to catch fish, with nets. So we don't have anymore left when fishing with hook and line. The mesh can be a problem, mesh 12 is forbidden. On land I don't really know, I am really at sea. I can't think of anything else. Small nets started a long time ago.","Batas"
"453",42,"2","If it is depleted, the kids will not have anymore fish. The small fish being caught. The small fish, though, we don't catch them, we don't use the small-meshed nets.","Batas"
"454",42,"3","There is no real issue here.","Batas"
"455",42,"4","For the small nets, we should forbid them hopefully. The nets to catch tunggao are really small, the mesh is 12. We should make it forbidden, only keep mesh 4 or 6. Maximum size. For the size to be good.","Batas"
"456",42,"5a","At the place of Doctor there is an MPA over there. Also here. They are made for the fish to reproduce. For them to spawn there. Spawning really is the only goal.","Batas"
"457",42,"5b","For people here in the barangay. Because if the others are also fishing here, there won't be any more fish.","Batas"
"458",42,"5c","We made it forbidden here for people from other barangays to fish here. When someone comes in, we can go there, like the barangay tanod. There are guards. If there are no guards they are not efficient.","Batas"
"459",42,"6a","","Batas"
"460",42,"6b","","Batas"
"461",42,"6c","","Batas"
"462",42,"7","","Batas"
"463",43,"1","There is mining. That's for the whole Palawan. There is also illegal fishing… Illegal logging, there is also in Palawan. It started a long time ago. I don't know when it started, when I arrived here it was already like that. Illegal logging and mining. Until now it happens.","Batas"
"464",43,"2","Because that's where most are getting their means of living, like the fish. It matters for them. ","Batas"
"465",43,"3","The problem here is really terramar. Their protected area is very large. It is too large. The area is really too much. If you go there, they directly expell you. They say: ""go away! Go away! It is forbidden!"". It started about twenty years ago. There are a lot of fish of there, the only issue is that it is forbidden. If you fish with hook and line there, you catch a lot of fish. Back then here, the issue was hulbot, but now there are no more. The big boats that use large nets, like trawls. But bigger than trawls. A really big boat. There are not really much issues here in the Shark Fin Bay. The only problem, sometimes, people from other barangays are coming. But if we see them, we directly tell them to go away. Fishermen from other places. If we see that, we forbid it. They don't use bad methods, the issue is only that many people have needs here. If the others are catching our resources we cannot catch them anymore. Here in front of Batas it is really forbidden. In front of Tandol overthere, Doctor Perlo is also protecting overthere.","Batas"
"466",43,"4","Maybe we cannot really solve that, because they are ""big time"". Maybe there is no solution.","Batas"
"467",43,"5a","Marine sanctuaries… Their are made to increase the number of fish. It is a spawning ground. That's where they reproduce. If there is no sanctuary, anyone can enter and fish. People from other places. That is why we implemented a sanctuary. ","Batas"
"468",43,"5b","Sanctuaries are made for everyone from here, from Batas.","Batas"
"469",43,"5c","Guarding it really firmly. It must be forbidden for the others to enter.","Batas"
"470",43,"6a","","Batas"
"471",43,"6b","","Batas"
"472",43,"6c","","Batas"
"473",43,"7","Maybe the future will be bad after some time. All the environment might be completely depleted. Back then, maybe ten years ago, there were a lot of fish here. Now there are no more fish. Just a few. It means that after some time, it will really get depleted. They are really decreasing in numbers. Every three years we can really notice that fish stocks are getting reduced. Even if there is a sanctuary... It might be because of overpopulation. Too many people. So many people are catching fish. So people going at sea, sometimes, they don't catch any fish.","Batas"
"474",44,"1","There are many issues. In farming, we have a lot of issues there. Like the spray for the spray we use in the rice fields, it is damaging our rice fields. Insecticides. Because of the pests and diseases, we can lose our harvest. We have a spray that kills the insects, it is better with this spray than without. For the marine environment, there is not much issue. The sea is still quite abundant. There is no problem at sea.","Batas"
"475",44,"2","That's where the future of people comes from. Like the fishermen. That is where they get their needs to pay for their children's education. And for their livelihood. The sea is still very valuable for us.","Batas"
"476",44,"3","For us, we have a lot of people who want to make benefits. And we don't have any more fish to buy. People also need to buy. They buy all the fish from people with nets, and sell them. If you have a culture of fish, it means your way of living is easy. Getting money from it is easier. People with fish cages are earning more money. That's really the problem, benefits only. There are no other issues I think.","Batas"
"477",44,"4","The solution is that if you have a cage, if you have a net, with live fish, if you have benefits benefits, you can keep on doing fish culture. There should only be nets, if you have a net, you have food for your culture. We should have help to buy the semilia, to buy the cages, from the government. If you don't have a net, you cannot get fish to feed your culture of fish. That's our problem: getting benefits. ","Batas"
